psi_deg,Vr,Vpsi,Mach,p_over_p1,T_over_T1,rho_over_rho1
26.6,0.552321275836521,-0.727654049387594,0.913531174800206,3.34804093612339,1.41668796551506,2.36328748293288
26.4,0.549783495143313,-0.726385877496763,0.910987560046096,3.35739510083363,1.41782778432693,2.36798512340301
26.2,0.547250154811902,-0.725109922226736,0.908442145242786,3.36676336583938,1.41896705813455,2.37268606521812
26,0.544721281878072,-0.723826259938028,0.905894988123218,3.37614539958411,1.42010574731168,2.37739013870995
25.8,0.542196903111429,-0.722534966777699,0.903346146258496,3.38554086897301,1.42124381236428,2.38209717398246
25.6,0.539677045016152,-0.721236118677282,0.900795677055588,3.39494943940672,1.4223812139337,2.38680700092892
25.4,0.537161733831745,-0.719929791350755,0.898243637755074,3.40437077481554,1.42351791279996,2.39151944924907
25.2,0.534650995533808,-0.718616060292547,0.895690085428925,3.41380453769388,1.42465386988497,2.39623434846634
25,0.532144855834798,-0.717295000775596,0.893135076978337,3.42325038913518,1.42578904625577,2.40095152794511
24.8,0.529643340184811,-0.715966687849432,0.890578669131599,3.43270798886721,1.42692340312761,2.40567081690804
24.6,0.527146473772363,-0.714631196338313,0.888020918441995,3.44217699528757,1.42805690186721,2.41039204445345
24.4,0.524654281525179,-0.713288600839394,0.885461881285762,3.45165706549978,1.4291895039958,2.41511503957274
24.2,0.52216678811099,-0.711938975720936,0.882901613860074,3.46114785534945,1.43032117119226,2.41983963116785
24,0.519684017938336,-0.710582395120555,0.880340172181071,3.470649019461,1.43145186529616,2.42456564806874
23.8,0.517205995157373,-0.709218932943507,0.87777761208193,3.48016021127458,1.43258154831083,2.42929291905098
23.6,0.514732743660685,-0.707848662861012,0.87521398921097,3.48968108308338,1.43371018240635,2.43402127285326
23.4,0.512264287084108,-0.706471658308619,0.872649359029799,3.49921128607115,1.43483772992254,2.43875053819505
23.2,0.509800648807552,-0.705087992484599,0.870083776811499,3.50875047035018,1.43596415337193,2.44348054379418
23,0.507341851955833,-0.703697738348389,0.86751729763885,3.51829828499942,1.43708941544267,2.44821111838449
22.8,0.504887919399511,-0.702300968619059,0.864949976402587,3.52785437810299,1.43821347900145,2.45294209073355
22.6,0.502438873755728,-0.700897755773822,0.862381867799703,3.53741839678893,1.43933630709635,2.45767328966025
22.4,0.49999473738906,-0.699488172046579,0.859813026331783,3.54698998726819,1.44045786295968,2.46240454405259
22.2,0.497555532412364,-0.698072289426501,0.857243506303376,3.55656879487399,1.4415781100108,2.4671356828853
22,0.495121280687636,-0.696650179656639,0.854673361820405,3.56615446410127,1.44269701185889,2.47186653523759
21.8,0.492692003826874,-0.695221914232582,0.852102646788611,3.57574663864655,1.44381453230571,2.47659693031087
21.6,0.490267723192943,-0.693787564401133,0.849531414912037,3.58534496144791,1.4449306353483,2.4813266974464
21.4,0.487848459900446,-0.692347201159033,0.846959719691547,3.59494907472526,1.44604528518166,2.48605566614301
21.2,0.485434234816599,-0.690900895251711,0.844387614423372,3.6045586200208,1.44715844620145,2.49078366607483
21,0.483025068562109,-0.68944871717207,0.841815152197704,3.61417323823968,1.44827008300654,2.49551052710889
20.8,0.480620981512061,-0.687990737159305,0.839242385897317,3.62379256969091,1.44938016040165,2.50023607932282
20.6,0.478221993796801,-0.686527025197755,0.836669368196223,3.6334162541284,1.45048864339989,2.5049601530225
20.4,0.475828125302832,-0.685057651015786,0.834096151558364,3.64304393079221,1.45159549722529,2.50968257875962
20.2,0.473439395673706,-0.683582684084704,0.831522788236337,3.65267523845001,1.45270068731526,2.51440318734931
20,0.471055824310926,-0.682102193617706,0.828949330270152,3.66230981543859,1.45380417932308,2.51912180988764
19.8,0.468677430374846,-0.680616248568856,0.826375829486023,3.67194729970565,1.45490593912033,2.52383827776921
19.6,0.466304232785579,-0.679124917632093,0.823802337495193,3.68158732885169,1.45600593279923,2.52855242270455
19.4,0.463936250223907,-0.67762826924027,0.821228905692794,3.69122954017196,1.45710412667502,2.5332640767376
19.2,0.461573501132193,-0.676126371564228,0.81865558525673,3.70087357069864,1.45820048728831,2.53797307226308
19,0.459216003715296,-0.67461929251189,0.816082427146602,3.71051905724311,1.45929498140731,2.54267924204383
18.8,0.456863775941495,-0.673107099727393,0.813509482102663,3.72016563643822,1.46038757603011,2.54738241922809
18.6,0.454516835543404,-0.671589860590247,0.810936800644796,3.72981294478084,1.46147823838688,2.55208243736674
18.4,0.452175200018905,-0.670067642214518,0.808364433071532,3.73946061867431,1.46256693594207,2.55677913043046
18.2,0.44983888663207,-0.668540511448048,0.805792429459099,3.74910829447108,1.46365363639653,2.56147233282683
18,0.447507912414093,-0.667008534871695,0.803220839660492,3.75875560851537,1.46473830768961,2.56616187941735
17.8,0.445182294164228,-0.665471778798606,0.80064971330458,3.76840219718587,1.46582091800127,2.57084760553445
17.6,0.442862048450715,-0.663930309273517,0.798079099795246,3.77804769693856,1.46690143575407,2.5755293469983
17.4,0.440547191611729,-0.662384192072073,0.795509048310548,3.78769174434945,1.4679798296152,2.58020694013371
17.2,0.438237739756311,-0.660833492700191,0.792939607801914,3.79733397615741,1.46905606849841,2.5848802217868
17,0.435933708765319,-0.659278276393428,0.790370826993364,3.80697402930702,1.47013012156595,2.58954902934164
16.8,0.433635114292365,-0.657718608116394,0.787802754380765,3.8166115409914,1.47120195823047,2.59421320073685
16.6,0.431341971764768,-0.656154552562181,0.785235438231104,3.82624614869501,1.47227154815685,2.59887257448202
16.4,0.429054296384499,-0.654586174151817,0.782668926581802,3.83587749023651,1.473338861264,2.60352698967408
16.2,0.426772103129133,-0.653013537033752,0.780103267240046,3.84550520381147,1.47440386772668,2.6081762860136
16,0.424495406752801,-0.651436705083361,0.77753850778215,3.85512892803518,1.4754665379772,2.61282030382092
15.8,0.422224221787145,-0.649855741902478,0.774974695552946,3.86474830198529,1.4765268427071,2.61745888405223
15.6,0.419958562542271,-0.64827071081895,0.772411877665198,3.87436296524445,1.47758475286887,2.62209186831551
15.4,0.417698443107711,-0.646681674886214,0.769850100999048,3.88397255794291,1.47864023967753,2.62671909888638
15.2,0.415443877353375,-0.645088696882904,0.767289412201478,3.89357672080094,1.47969327461223,2.63134041872381
15,0.413194878930516,-0.643491839312476,0.764729857685809,3.90317509517129,1.48074382941777,2.63595567148574
14.8,0.41095146127269,-0.641891164402854,0.762171483631217,3.91276732308143,1.48179187610617,2.64056470154456
14.6,0.408713637596717,-0.640286734106106,0.759614335982282,3.92235304727574,1.48283738695805,2.64516735400245
14.4,0.406481420903647,-0.638678610098133,0.757058460448552,3.9319319112576,1.48388033452415,2.64976347470666
14.2,0.40425482397972,-0.637066853778393,0.754503902504139,3.94150355933128,1.48492069162667,2.65435291026454
14,0.402033859397338,-0.635451526269631,0.75195070738734,3.95106763664376,1.48595843136062,2.65893550805857
13.8,0.399818539516025,-0.633832688417641,0.749398920100277,3.96062378922637,1.48699352709517,2.66351111626115
13.6,0.397608876483397,-0.632210400791049,0.74684858540856,3.97017166403624,1.48802595247491,2.66807958384932
13.4,0.395404882236131,-0.630584723681112,0.744299747840984,3.97971090899763,1.48905568142106,2.67264076061926
13.2,0.393206568500931,-0.628955717101541,0.741752451689235,3.98924117304305,1.49008268813273,2.67719449720076
13,0.391013946795499,-0.627323440788343,0.739206741007628,3.99876210615422,1.491106947088,2.68174064507141
12.8,0.388827028429504,-0.625687954199682,0.736662659612866,4.00827335940277,1.49212843304511,2.68627905657073
12.6,0.38664582450555,-0.624049316515766,0.73412025108382,4.0177745849908,1.4931471210435,2.69080958491413
12.4,0.384470345920151,-0.622407586638741,0.73157955876133,4.02726543629118,1.49416298640489,2.69533208420668
12.2,0.382300603364699,-0.620762823192619,0.729040625748033,4.03674556788762,1.49517600473424,2.69984640945674
12,0.380136607326432,-0.619115084523215,0.726503494908205,4.04621463561453,1.49618615192074,2.70435241658945
11.8,0.377978368089412,-0.617464428698101,0.723968208867632,4.05567229659663,1.49719340413873,2.70884996246004
11.6,0.37582589573549,-0.615810913506592,0.721434810013495,4.06511820928825,1.4981977378486,2.71333890486695
11.4,0.373679200145283,-0.614154596459734,0.718903340494281,4.07455203351245,1.4991991297976,2.7178191025648
11.2,0.371538290999138,-0.612495534790315,0.716373842219713,4.08397343049979,1.50019755702071,2.72229041527723
11,0.36940317777811,-0.610833785452905,0.713846356860698,4.09338206292685,1.50119299684135,2.72675270370946
10.8,0.367273869764931,-0.609169405123891,0.711320925849299,4.10277759495451,1.50218542687215,2.73120582956081
10.6,0.36515037604498,-0.607502450201552,0.70879759037872,4.11215969226578,1.50317482501563,2.73564965553692
10.4,0.363032705507254,-0.605832976806136,0.706276391403324,4.12152802210349,1.50416116946486,2.74008404536186
10.2,0.360920866845337,-0.604161040779958,0.70375736963865,4.13088225330758,1.50514443870406,2.74450886379004
9.99999999999995,0.358814868558374,-0.602486697687515,0.70124056556147,4.14022205635204,1.5061246115092,2.74892397661796
9.79999999999995,0.356714718952036,-0.600810002815617,0.698726019409848,4.14954710338156,1.50710166694852,2.75332925069567
9.59999999999995,0.354620426139493,-0.599131011173532,0.69621377118323,4.15885706824784,1.50807558438304,2.75772455393822
9.39999999999995,0.352531998042379,-0.597449777493152,0.693703860642543,4.16815162654554,1.50904634346704,2.76210975533673
9.19999999999995,0.350449442391763,-0.595766356229163,0.691196327310318,4.17743045564782,1.51001392414844,2.76648472496943
8.99999999999995,0.348372766729112,-0.594080801559246,0.688691210470827,4.18669323474161,1.51097830666924,2.77084933401238
8.79999999999995,0.346301978407264,-0.592393167384277,0.686188549170242,4.19593964486242,1.51193947156581,2.77520345475006
8.59999999999995,0.344237084591387,-0.590703507328554,0.683688382216806,4.20516936892883,1.51289739966927,2.77954696058577
8.39999999999995,0.342178092259951,-0.589011874740032,0.681190748181026,4.21438209177654,1.5138520721057,2.78387972605179
8.19999999999995,0.340125008205684,-0.587318322690572,0.67869568539588,4.22357750019206,1.51480347029641,2.78820162681935
7.99999999999995,0.338077839036543,-0.585622903976209,0.67620323195704,4.232755282946,1.51575157595815,2.79251253970845
7.79999999999995,0.336036591176672,-0.583925671117428,0.673713425723116,4.24191513082589,1.51669637110324,2.79681234269739
7.59999999999995,0.334001270867365,-0.582226676359458,0.67122630431591,4.25105673666871,1.51763783803971,2.80110091493216
7.39999999999995,0.331971884168024,-0.580525971672575,0.668741905120694,4.26017979539281,1.51857595937139,2.80537813673561
7.19999999999995,0.329948436957122,-0.578823608752424,0.666260265286492,4.26928400402959,1.51951071799796,2.80964388961639
6.99999999999995,0.327930934933158,-0.577119639020348,0.663781421726393,4.27836906175461,1.52044209711498,2.81389805627769
6.79999999999995,0.325919383615615,-0.575414113623735,0.661305411117867,4.28743466991835,1.52137008021382,2.81814052062584
6.59999999999995,0.323913788345915,-0.573707083436373,0.6588322699031,4.29648053207642,1.52229465108167,2.82237116777855
6.39999999999995,0.321914154288376,-0.571998599058818,0.656362034289347,4.30550635401941,1.52321579380141,2.82658988407308
